* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* 
* Line Format
* Line Number, Biome Category, Mod:Biome, EntityType, Mod:Entity, Spawnweight, Min Group Size, Max Group Size.
1320, jungle, minecraft:jungle_edge, CREATURE, alexsmobs:raccoon, 10, 2, 4
1321, jungle, minecraft:jungle_edge, CREATURE, alexsmobs:crow, 10, 3, 5
1322, jungle, minecraft:jungle_edge, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
1323, jungle, minecraft:jungle_edge, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
1324, jungle, minecraft:jungle_edge, CREATURE, ars_nouveau:sylph, 10, 1, 1
1325, jungle, minecraft:jungle_edge, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1326, jungle, minecraft:jungle_edge, CREATURE, wyrmroost:dragon_fruit_drake, 23, 4, 5
1327, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:goat, 10, 1, 4
1328, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
1329, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
1330, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:songbird, 11, 1, 4
1331, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:badger, 10, 1, 2
1332, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:turkey, 11, 1, 3
1333, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
1334, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
1335, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:deer, 16, 1, 4
1336, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
1337, jungle, minecraft:jungle_edge, CREATURE, betteranimalsplus:boar, 10, 1, 4
1338, jungle, minecraft:jungle_edge, AMBIENT, minecraft:bat, 10, 8, 8
1339, jungle, minecraft:jungle_edge, AMBIENT, alexsmobs:fly, 10, 2, 3
1340, jungle, minecraft:jungle_edge, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1341, jungle, minecraft:jungle_edge, AMBIENT, alexsmobs:fly, 10, 2, 3
1342, jungle, minecraft:jungle_edge, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1343, jungle, minecraft:jungle_edge, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
1344, jungle, minecraft:jungle_edge, WATER_CREATURE, minecraft:squid, 80, 4, 4
1345, jungle, minecraft:jungle_edge, WATER_CREATURE, minecraft:squid, 80, 4, 4
1346, jungle, minecraft:jungle_edge, WATER_AMBIENT, aquaculture:arapaima, 10, 1, 1
1347, jungle, minecraft:jungle_edge, WATER_AMBIENT, aquaculture:tambaqui, 10, 1, 2
1348, jungle, minecraft:jungle_edge, WATER_AMBIENT, aquaculture:piranha, 20, 1, 6
1349, jungle, minecraft:jungle_edge, WATER_AMBIENT, betteranimalsplus:piranha, 10, 1, 5
1350, ocean, minecraft:deep_ocean, MONSTER, minecraft:spider, 80, 4, 4
1351, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie, 80, 4, 4
1352, ocean, minecraft:deep_ocean, MONSTER, minecraft:zombie_villager, 10, 1, 1
1353, ocean, minecraft:deep_ocean, MONSTER, minecraft:skeleton, 80, 4, 4
1354, ocean, minecraft:deep_ocean, MONSTER, minecraft:creeper, 80, 4, 4
1355, ocean, minecraft:deep_ocean, MONSTER, minecraft:slime, 80, 4, 4
1356, ocean, minecraft:deep_ocean, MONSTER, minecraft:enderman, 5, 1, 4
1357, ocean, minecraft:deep_ocean, MONSTER, minecraft:witch, 5, 1, 1
1358, ocean, minecraft:deep_ocean, MONSTER, minecraft:drowned, 10, 1, 1
1359, ocean, minecraft:deep_ocean, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
1360, ocean, minecraft:deep_ocean, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
1361, ocean, minecraft:deep_ocean, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
1362, ocean, minecraft:deep_ocean, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
1363, ocean, minecraft:deep_ocean, MONSTER, mowziesmobs:grottol, 10, 1, 1
1364, ocean, minecraft:deep_ocean, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1365, ocean, minecraft:deep_ocean, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1366, ocean, minecraft:deep_ocean, MONSTER, tconstruct:earth_slime, 80, 2, 4
1367, ocean, minecraft:deep_ocean, MONSTER, tconstruct:sky_slime, 80, 2, 4
1368, ocean, minecraft:deep_ocean, MONSTER, quark:stoneling, 80, 1, 1
1369, ocean, minecraft:deep_ocean, MONSTER, quark:toretoise, 80, 1, 1
1370, ocean, minecraft:deep_ocean, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
1371, ocean, minecraft:deep_ocean, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1372, ocean, minecraft:deep_ocean, CREATURE, wyrmroost:butterfly_leviathan, 10, 1, 1
1373, ocean, minecraft:deep_ocean, CREATURE, wyrmroost:silver_glider, 10, 1, 4
1374, ocean, minecraft:deep_ocean, AMBIENT, minecraft:bat, 10, 8, 8
1375, ocean, minecraft:deep_ocean, AMBIENT, pandoras_creatures:seahorse, 10, 2, 3
1376, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 10, 1, 4
1377, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:dolphin, 10, 1, 2
1378, ocean, minecraft:deep_ocean, WATER_CREATURE, chaosawakens:whale, 10, 1, 2
1379, ocean, minecraft:deep_ocean, WATER_CREATURE, chaosawakens:green_fish, 10, 3, 5
1380, ocean, minecraft:deep_ocean, WATER_CREATURE, chaosawakens:rock_fish, 14, 3, 5
1381, ocean, minecraft:deep_ocean, WATER_CREATURE, chaosawakens:wood_fish, 20, 5, 8
1382, ocean, minecraft:deep_ocean, WATER_CREATURE, chaosawakens:spark_fish, 15, 4, 6
1383, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
1384, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
1385, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:cachalot_whale, 10, 1, 2
1386, ocean, minecraft:deep_ocean, WATER_CREATURE, alexsmobs:frilled_shark, 11, 1, 1
1387, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 80, 4, 4
1388, ocean, minecraft:deep_ocean, WATER_CREATURE, minecraft:squid, 80, 4, 4
1389, ocean, minecraft:deep_ocean, WATER_CREATURE, betteranimalsplus:shark, 10, 1, 3
1390, ocean, minecraft:deep_ocean, WATER_CREATURE, betteranimalsplus:whale, 10, 1, 3
1391, ocean, minecraft:deep_ocean, WATER_CREATURE, betteranimalsplus:squid_colossal, 10, 1, 1
1392, ocean, minecraft:deep_ocean, WATER_CREATURE, betteranimalsplus:squid_giant, 10, 1, 1
1393, ocean, minecraft:deep_ocean, WATER_AMBIENT, minecraft:cod, 10, 3, 6
1394, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1395, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
1396, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
1397, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1398, ocean, minecraft:deep_ocean, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
1399, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
1400, ocean, minecraft:deep_ocean, WATER_AMBIENT, alexsmobs:blobfish, 30, 2, 2
1401, ocean, minecraft:deep_ocean, WATER_AMBIENT, betteranimalsplus:bobbit_worm, 10, 1, 1
1402, ocean, minecraft:deep_ocean, WATER_AMBIENT, betteranimalsplus:jellyfish, 10, 1, 5
1403, ocean, minecraft:deep_ocean, WATER_AMBIENT, betteranimalsplus:nautilus, 10, 1, 1
1404, none, minecraft:stone_shore, MONSTER, minecraft:spider, 80, 4, 4
1405, none, minecraft:stone_shore, MONSTER, minecraft:zombie, 80, 4, 4
1406, none, minecraft:stone_shore, MONSTER, minecraft:zombie_villager, 10, 1, 1
1407, none, minecraft:stone_shore, MONSTER, minecraft:skeleton, 80, 4, 4
1408, none, minecraft:stone_shore, MONSTER, minecraft:creeper, 80, 4, 4
1409, none, minecraft:stone_shore, MONSTER, minecraft:slime, 80, 4, 4
1410, none, minecraft:stone_shore, MONSTER, minecraft:enderman, 5, 1, 4
1411, none, minecraft:stone_shore, MONSTER, minecraft:witch, 5, 1, 1
1412, none, minecraft:stone_shore, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
1413, none, minecraft:stone_shore, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
1414, none, minecraft:stone_shore, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
1415, none, minecraft:stone_shore, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
1416, none, minecraft:stone_shore, MONSTER, mowziesmobs:grottol, 10, 1, 1
1417, none, minecraft:stone_shore, MONSTER, mowziesmobs:naga, 15, 2, 4
1418, none, minecraft:stone_shore, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1419, none, minecraft:stone_shore, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1420, none, minecraft:stone_shore, MONSTER, tconstruct:earth_slime, 80, 2, 4
1421, none, minecraft:stone_shore, MONSTER, tconstruct:sky_slime, 80, 2, 4
1422, none, minecraft:stone_shore, MONSTER, quark:stoneling, 80, 1, 1
1423, none, minecraft:stone_shore, MONSTER, quark:toretoise, 80, 1, 1
1424, none, minecraft:stone_shore, CREATURE, alexsmobs:seal, 30, 3, 8
1425, none, minecraft:stone_shore, CREATURE, alexsmobs:seagull, 21, 3, 6
1426, none, minecraft:stone_shore, CREATURE, alexsmobs:seal, 30, 3, 8
1427, none, minecraft:stone_shore, CREATURE, alexsmobs:seagull, 21, 3, 6
1428, none, minecraft:stone_shore, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1429, none, minecraft:stone_shore, CREATURE, quark:crab, 10, 1, 3
1430, none, minecraft:stone_shore, CREATURE, betteranimalsplus:crab, 10, 1, 3
1431, none, minecraft:stone_shore, CREATURE, betteranimalsplus:horseshoecrab, 10, 1, 3
1432, none, minecraft:stone_shore, CREATURE, betteranimalsplus:walrus, 10, 1, 5
1433, none, minecraft:stone_shore, AMBIENT, minecraft:bat, 10, 8, 8
1434, none, minecraft:stone_shore, AMBIENT, alexsmobs:fly, 10, 2, 3
1435, none, minecraft:stone_shore, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1436, none, minecraft:stone_shore, AMBIENT, alexsmobs:fly, 10, 2, 3
1437, none, minecraft:stone_shore, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1438, none, minecraft:stone_shore, WATER_CREATURE, minecraft:squid, 80, 4, 4
1439, none, minecraft:stone_shore, WATER_CREATURE, minecraft:squid, 80, 4, 4
1440, none, minecraft:stone_shore, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1441, none, minecraft:stone_shore, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
1442, none, minecraft:stone_shore, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
1443, none, minecraft:stone_shore, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1444, none, minecraft:stone_shore, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
1445, none, minecraft:stone_shore, WATER_AMBIENT, alexsmobs:lobster, 10, 3, 5
1446, none, minecraft:stone_shore, WATER_AMBIENT, alexsmobs:lobster, 10, 3, 5
1447, beach, minecraft:snowy_beach, MONSTER, minecraft:spider, 80, 4, 4
1448, beach, minecraft:snowy_beach, MONSTER, minecraft:zombie, 80, 4, 4
1449, beach, minecraft:snowy_beach, MONSTER, minecraft:zombie_villager, 10, 1, 1
1450, beach, minecraft:snowy_beach, MONSTER, minecraft:skeleton, 80, 4, 4
1451, beach, minecraft:snowy_beach, MONSTER, minecraft:creeper, 80, 4, 4
1452, beach, minecraft:snowy_beach, MONSTER, minecraft:slime, 80, 4, 4
1453, beach, minecraft:snowy_beach, MONSTER, minecraft:enderman, 5, 1, 4
1454, beach, minecraft:snowy_beach, MONSTER, minecraft:witch, 5, 1, 1
1455, beach, minecraft:snowy_beach, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
1456, beach, minecraft:snowy_beach, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
1457, beach, minecraft:snowy_beach, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
1458, beach, minecraft:snowy_beach, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
1459, beach, minecraft:snowy_beach, MONSTER, thermal:blizz, 10, 1, 3
1460, beach, minecraft:snowy_beach, MONSTER, mowziesmobs:grottol, 10, 1, 1
1461, beach, minecraft:snowy_beach, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1462, beach, minecraft:snowy_beach, MONSTER, iceandfire:dread_lich, 10, 1, 1
1463, beach, minecraft:snowy_beach, MONSTER, iceandfire:troll, 40, 1, 3
1464, beach, minecraft:snowy_beach, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1465, beach, minecraft:snowy_beach, MONSTER, ars_nouveau:wilden_guardian, 50, 1, 1
1466, beach, minecraft:snowy_beach, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1467, beach, minecraft:snowy_beach, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1468, beach, minecraft:snowy_beach, MONSTER, tconstruct:earth_slime, 80, 2, 4
1469, beach, minecraft:snowy_beach, MONSTER, tconstruct:sky_slime, 80, 2, 4
1470, beach, minecraft:snowy_beach, MONSTER, quark:stoneling, 80, 1, 1
1471, beach, minecraft:snowy_beach, MONSTER, quark:toretoise, 80, 1, 1
1472, beach, minecraft:snowy_beach, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
1473, beach, minecraft:snowy_beach, CREATURE, alexsmobs:seal, 30, 3, 8
1474, beach, minecraft:snowy_beach, CREATURE, alexsmobs:seagull, 21, 3, 6
1475, beach, minecraft:snowy_beach, CREATURE, alexsmobs:seal, 30, 3, 8
1476, beach, minecraft:snowy_beach, CREATURE, alexsmobs:seagull, 21, 3, 6
1477, beach, minecraft:snowy_beach, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1478, beach, minecraft:snowy_beach, CREATURE, quark:crab, 10, 1, 3
1479, beach, minecraft:snowy_beach, CREATURE, wyrmroost:silver_glider, 10, 1, 4
1480, beach, minecraft:snowy_beach, CREATURE, betteranimalsplus:crab, 10, 1, 3
1481, beach, minecraft:snowy_beach, CREATURE, betteranimalsplus:horseshoecrab, 10, 1, 3
1482, beach, minecraft:snowy_beach, CREATURE, betteranimalsplus:walrus, 10, 1, 5
1483, beach, minecraft:snowy_beach, CREATURE, betteranimalsplus:reindeer, 10, 1, 4
1484, beach, minecraft:snowy_beach, AMBIENT, minecraft:bat, 10, 8, 8
1485, beach, minecraft:snowy_beach, AMBIENT, alexsmobs:fly, 10, 2, 3
1486, beach, minecraft:snowy_beach, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1487, beach, minecraft:snowy_beach, AMBIENT, alexsmobs:fly, 10, 2, 3
1488, beach, minecraft:snowy_beach, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1489, beach, minecraft:snowy_beach, WATER_CREATURE, minecraft:squid, 80, 4, 4
1490, beach, minecraft:snowy_beach, WATER_CREATURE, minecraft:squid, 80, 4, 4
1491, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_cod, 10, 1, 1
1492, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:jellyfish, 10, 1, 3
1493, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_halibut, 10, 1, 1
1494, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:rainbow_trout, 10, 1, 2
1495, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:pollock, 10, 1, 2
1496, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:pacific_halibut, 10, 1, 1
1497, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:blackfish, 13, 1, 4
1498, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:red_grouper, 10, 1, 2
1499, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:pink_salmon, 10, 1, 2
1500, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:atlantic_herring, 20, 1, 6
1501, beach, minecraft:snowy_beach, WATER_AMBIENT, aquaculture:tuna, 10, 1, 1
1502, beach, minecraft:snowy_beach, WATER_AMBIENT, alexsmobs:lobster, 10, 3, 5
1503, beach, minecraft:snowy_beach, WATER_AMBIENT, alexsmobs:lobster, 10, 3, 5
1504, forest, minecraft:birch_forest, MONSTER, minecraft:spider, 80, 4, 4
1505, forest, minecraft:birch_forest, MONSTER, minecraft:zombie, 80, 4, 4
1506, forest, minecraft:birch_forest, MONSTER, minecraft:zombie_villager, 10, 1, 1
1507, forest, minecraft:birch_forest, MONSTER, minecraft:skeleton, 80, 4, 4
1508, forest, minecraft:birch_forest, MONSTER, minecraft:creeper, 80, 4, 4
1509, forest, minecraft:birch_forest, MONSTER, minecraft:slime, 80, 4, 4
1510, forest, minecraft:birch_forest, MONSTER, minecraft:enderman, 5, 1, 4
1511, forest, minecraft:birch_forest, MONSTER, minecraft:witch, 5, 1, 1
1512, forest, minecraft:birch_forest, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
1513, forest, minecraft:birch_forest, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
1514, forest, minecraft:birch_forest, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
1515, forest, minecraft:birch_forest, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
1516, forest, minecraft:birch_forest, MONSTER, chaosawakens:wasp, 10, 1, 3
1517, forest, minecraft:birch_forest, MONSTER, mowziesmobs:grottol, 10, 1, 1
1518, forest, minecraft:birch_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1519, forest, minecraft:birch_forest, MONSTER, iceandfire:troll, 40, 1, 3
1520, forest, minecraft:birch_forest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1521, forest, minecraft:birch_forest, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1522, forest, minecraft:birch_forest, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1523, forest, minecraft:birch_forest, MONSTER, tconstruct:earth_slime, 80, 2, 4
1524, forest, minecraft:birch_forest, MONSTER, tconstruct:sky_slime, 80, 2, 4
1525, forest, minecraft:birch_forest, MONSTER, quark:stoneling, 80, 1, 1
1526, forest, minecraft:birch_forest, MONSTER, quark:toretoise, 80, 1, 1
1527, forest, minecraft:birch_forest, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
1528, forest, minecraft:birch_forest, CREATURE, minecraft:sheep, 12, 4, 4
1529, forest, minecraft:birch_forest, CREATURE, minecraft:pig, 10, 4, 4
1530, forest, minecraft:birch_forest, CREATURE, minecraft:chicken, 10, 4, 4
1531, forest, minecraft:birch_forest, CREATURE, minecraft:cow, 10, 4, 4
1532, forest, minecraft:birch_forest, CREATURE, chaosawakens:beaver, 14, 1, 4
1533, forest, minecraft:birch_forest, CREATURE, chaosawakens:stink_bug, 20, 3, 5
1534, forest, minecraft:birch_forest, CREATURE, chaosawakens:bird, 10, 2, 4
1535, forest, minecraft:birch_forest, CREATURE, chaosawakens:lettuce_chicken, 16, 4, 6
1536, forest, minecraft:birch_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
1537, forest, minecraft:birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
1538, forest, minecraft:birch_forest, CREATURE, alexsmobs:crow, 10, 3, 5
1539, forest, minecraft:birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
1540, forest, minecraft:birch_forest, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
1541, forest, minecraft:birch_forest, CREATURE, alexsmobs:raccoon, 10, 2, 4
1542, forest, minecraft:birch_forest, CREATURE, alexsmobs:crow, 10, 3, 5
1543, forest, minecraft:birch_forest, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
1544, forest, minecraft:birch_forest, CREATURE, duckery:log_duck, 20, 2, 6
1545, forest, minecraft:birch_forest, CREATURE, duckery:gravel_duck, 20, 2, 6
1546, forest, minecraft:birch_forest, CREATURE, duckery:flint_duck, 20, 2, 6
1547, forest, minecraft:birch_forest, CREATURE, duckery:duck, 10, 2, 6
1548, forest, minecraft:birch_forest, CREATURE, duckery:clay_duck, 20, 2, 6
1549, forest, minecraft:birch_forest, CREATURE, ars_nouveau:carbuncle, 10, 1, 1
1550, forest, minecraft:birch_forest, CREATURE, ars_nouveau:sylph, 10, 1, 1
1551, forest, minecraft:birch_forest, CREATURE, ars_nouveau:drygmy, 10, 1, 1
1552, forest, minecraft:birch_forest, CREATURE, duckery:bone_duck, 20, 2, 6
1553, forest, minecraft:birch_forest, CREATURE, wyrmroost:roost_stalker, 10, 2, 9
1554, forest, minecraft:birch_forest, CREATURE, goblinsanddungeons:ogre, 10, 1, 1
1555, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:goat, 10, 1, 4
1556, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
1557, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:squirrel, 10, 1, 3
1558, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:songbird, 11, 1, 4
1559, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:badger, 10, 1, 2
1560, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:turkey, 11, 1, 3
1561, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:goose, 15, 2, 5
1562, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:brownbear, 10, 1, 1
1563, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:blackbear, 10, 1, 1
1564, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:deer, 16, 1, 4
1565, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:feralwolf, 10, 1, 6
1566, forest, minecraft:birch_forest, CREATURE, betteranimalsplus:boar, 10, 1, 4
1567, forest, minecraft:birch_forest, AMBIENT, minecraft:bat, 10, 8, 8
1568, forest, minecraft:birch_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
1569, forest, minecraft:birch_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1570, forest, minecraft:birch_forest, AMBIENT, alexsmobs:fly, 10, 2, 3
1571, forest, minecraft:birch_forest, AMBIENT, alexsmobs:cockroach, 10, 5, 5
1572, forest, minecraft:birch_forest, AMBIENT, betteranimalsplus:butterfly, 10, 1, 3
1573, forest, minecraft:birch_forest, WATER_CREATURE, minecraft:squid, 80, 4, 4
1574, forest, minecraft:birch_forest, WATER_CREATURE, minecraft:squid, 80, 4, 4
1575, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
1576, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
1577, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
1578, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
1579, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:catfish, 10, 1, 1
1580, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
1581, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:gar, 10, 1, 2
1582, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:smallmouth_bass, 10, 1, 3
1583, forest, minecraft:birch_forest, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
1584, forest, minecraft:birch_forest_hills, MONSTER, minecraft:spider, 80, 4, 4
1585, forest, minecraft:birch_forest_hills, MONSTER, minecraft:zombie, 80, 4, 4
1586, forest, minecraft:birch_forest_hills, MONSTER, minecraft:zombie_villager, 10, 1, 1
1587, forest, minecraft:birch_forest_hills, MONSTER, minecraft:skeleton, 80, 4, 4
1588, forest, minecraft:birch_forest_hills, MONSTER, minecraft:creeper, 80, 4, 4
1589, forest, minecraft:birch_forest_hills, MONSTER, minecraft:slime, 80, 4, 4
1590, forest, minecraft:birch_forest_hills, MONSTER, minecraft:enderman, 5, 1, 4
1591, forest, minecraft:birch_forest_hills, MONSTER, minecraft:witch, 5, 1, 1
1592, forest, minecraft:birch_forest_hills, MONSTER, mutantbeasts:mutant_enderman, 10, 1, 1
1593, forest, minecraft:birch_forest_hills, MONSTER, mutantbeasts:mutant_skeleton, 10, 1, 1
1594, forest, minecraft:birch_forest_hills, MONSTER, mutantbeasts:mutant_creeper, 10, 1, 1
1595, forest, minecraft:birch_forest_hills, MONSTER, mutantbeasts:mutant_zombie, 10, 1, 1
1596, forest, minecraft:birch_forest_hills, MONSTER, chaosawakens:wasp, 10, 1, 3
1597, forest, minecraft:birch_forest_hills, MONSTER, mowziesmobs:grottol, 10, 1, 1
1598, forest, minecraft:birch_forest_hills, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1599, forest, minecraft:birch_forest_hills, MONSTER, iceandfire:troll, 40, 1, 3
1600, forest, minecraft:birch_forest_hills, MONSTER, alexsmobs:centipede_head, 10, 1, 1
1601, forest, minecraft:birch_forest_hills, MONSTER, ars_nouveau:wilden_stalker, 50, 3, 3
1602, forest, minecraft:birch_forest_hills, MONSTER, ars_nouveau:wilden_hunter, 50, 1, 1
1603, forest, minecraft:birch_forest_hills, MONSTER, tconstruct:earth_slime, 80, 2, 4
1604, forest, minecraft:birch_forest_hills, MONSTER, tconstruct:sky_slime, 80, 2, 4
1605, forest, minecraft:birch_forest_hills, MONSTER, quark:stoneling, 80, 1, 1
1606, forest, minecraft:birch_forest_hills, MONSTER, quark:toretoise, 80, 1, 1
1607, forest, minecraft:birch_forest_hills, MONSTER, savageandravage:skeleton_villager, 10, 1, 1
1608, forest, minecraft:birch_forest_hills, CREATURE, minecraft:sheep, 12, 4, 4
1609, forest, minecraft:birch_forest_hills, CREATURE, minecraft:pig, 10, 4, 4
1610, forest, minecraft:birch_forest_hills, CREATURE, minecraft:chicken, 10, 4, 4
1611, forest, minecraft:birch_forest_hills, CREATURE, minecraft:cow, 10, 4, 4
1612, forest, minecraft:birch_forest_hills, CREATURE, chaosawakens:beaver, 14, 1, 4
1613, forest, minecraft:birch_forest_hills, CREATURE, chaosawakens:stink_bug, 20, 3, 5
1614, forest, minecraft:birch_forest_hills, CREATURE, chaosawakens:bird, 10, 2, 4
1615, forest, minecraft:birch_forest_hills, CREATURE, chaosawakens:lettuce_chicken, 16, 4, 6
1616, forest, minecraft:birch_forest_hills, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
1617, forest, minecraft:birch_forest_hills, CREATURE, alexsmobs:raccoon, 10, 2, 4
1618, forest, minecraft:birch_forest_hills, CREATURE, alexsmobs:crow, 10, 3, 5
1619, forest, minecraft:birch_forest_hills, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
1620, forest, minecraft:birch_forest_hills, CREATURE, iceandfire:hippogryph, 10, 1, 1
